No. of neurons(HL1),Activation(HL1),No. of neurons(HL2),Activation(HL2),Accuracy
50,tanh,50,tanh,0.9713000059127808
50,tanh,50,sigmoid,0.9718999862670898
50,tanh,50,relu,0.9728999733924866
50,sigmoid,50,tanh,0.9703999757766724
50,sigmoid,50,sigmoid,0.9648000001907349
50,sigmoid,50,relu,0.9688000082969666
50,relu,50,tanh,0.9731000065803528
50,relu,50,sigmoid,0.9697999954223633
50,relu,50,relu,0.972100019454956
50,tanh,100,tanh,0.9703999757766724
50,tanh,100,sigmoid,0.9721999764442444
50,tanh,100,relu,0.9728999733924866
50,sigmoid,100,tanh,0.9695000052452087
50,sigmoid,100,sigmoid,0.9668999910354614
50,sigmoid,100,relu,0.9708999991416931
50,relu,100,tanh,0.9771999716758728
50,relu,100,sigmoid,0.9715999960899353
50,relu,100,relu,0.973800003528595
100,tanh,50,tanh,0.9757999777793884
100,tanh,50,sigmoid,0.9749000072479248
100,tanh,50,relu,0.9754999876022339
100,sigmoid,50,tanh,0.9753000140190125
100,sigmoid,50,sigmoid,0.9726999998092651
100,sigmoid,50,relu,0.973800003528595
100,relu,50,tanh,0.9776999950408936
100,relu,50,sigmoid,0.9769999980926514
100,relu,50,relu,0.9776999950408936
